AE	pcp	CLONAZEPAM	330	98.26
AK	pcp	DIVALPROEX SODIUM	18744	52973.43
AK	pcp	LAMOTRIGINE	15888	17693.59
AK	psych	BUPROPION HCL	690	887.05
AK	psych	CLONAZEPAM	3917	939.57
AK	psych	FLUOXETINE HCL	1544	982.89
AK	psych	RISPERIDONE	5101	5525.74
AK	psych	TRAZODONE HCL	2240	674.93
AL	pcp	BUPROPION HCL	1729558	1712619.01
AL	pcp	DIVALPROEX SODIUM	1006196	1672724
AL	pcp	QUETIAPINE FUMARATE	2325775	5891542.50000001
AL	pcp	RISPERIDONE	1035093	895432.73
AL	pcp	SERTRALINE HCL	5978577	1556639.01
AL	pcp	TRAZODONE HCL	5130168	969621.85
AL	psych	CLONAZEPAM	50374	14972.67
AL	psych	DIVALPROEX SODIUM	44112	86762.96
AR	pcp	BUPROPION HCL	911012	1000861.32
AR	pcp	CLONAZEPAM	2110736	467452.4
AR	pcp	DIVALPROEX SODIUM	730647	1655652.88
AR	pcp	FLUOXETINE HCL	2002452	639272.13
AR	pcp	QUETIAPINE FUMARATE	1272414	3901136.29
AR	pcp	TRAZODONE HCL	2925382	564077.51
AR	psych	CLONAZEPAM	14840	3511.62
AR	psych	LAMOTRIGINE	14562	6163.4
AR	psych	QUETIAPINE FUMARATE	10159	54027.44
AZ	pcp	DIVALPROEX SODIUM	459899	802668.87
AZ	pcp	LAMOTRIGINE	150007	122896.78
AZ	psych	DIVALPROEX SODIUM	36915	94189.09
AZ	psych	RISPERIDONE	64885	44168.2
CA	pcp	LAMOTRIGINE	1098703	1064809.08
CA	pcp	ZOLPIDEM TARTRATE	28783623	8612377.32000004
CA	psych	BUPROPION HCL	1333325	1623905.93
CA	psych	CLONAZEPAM	1100639	330988.45
CA	psych	FLUOXETINE HCL	991897	365575.52
CA	psych	LAMOTRIGINE	779748	644786.82
CA	psych	TRAZODONE HCL	1164641	295565.7
CA	psych	ZOLPIDEM TARTRATE	566165	245633.37
CO	pcp	BUPROPION HCL	1066047	1210444.96
CO	pcp	FLUOXETINE HCL	2887343	826476.629999999
CO	pcp	TRAZODONE HCL	2932193	585821.26
CO	pcp	ZOLPIDEM TARTRATE	3283970	943135.990000001
CO	psych	BUPROPION HCL	57879	79497.25
CO	psych	CLONAZEPAM	64490	20877.89
CO	psych	FLUOXETINE HCL	44006	26093.11
CO	psych	LAMOTRIGINE	83756	92397.98
CO	psych	TRAZODONE HCL	45581	11894.82
CO	psych	ZOLPIDEM TARTRATE	34753	19327.16
CT	pcp	BUPROPION HCL	766602	779102.6
CT	pcp	DIVALPROEX SODIUM	683904	1392517.69
CT	pcp	QUETIAPINE FUMARATE	1060180	2959304.24
CT	pcp	RISPERIDONE	781870	990124.35
CT	pcp	TRAZODONE HCL	2234762	586834.059999999
CT	psych	BUPROPION HCL	106137	114525.55
CT	psych	CLONAZEPAM	130825	33891.38
CT	psych	LAMOTRIGINE	83324	39775.98
CT	psych	SERTRALINE HCL	84996	33651.72
CT	psych	TRAZODONE HCL	97861	24600.43
DC	pcp	BUPROPION HCL	37315	40102.4
DC	pcp	DIVALPROEX SODIUM	35690	66002.45
DC	pcp	LAMOTRIGINE	21168	65709.74
DC	pcp	TRAZODONE HCL	108968	23659.48
DC	psych	BUPROPION HCL	34694	43983.23
DC	psych	CLONAZEPAM	24529	7130.01
DC	psych	DIVALPROEX SODIUM	31451	59362.18
DC	psych	SERTRALINE HCL	31747	10236.32
DC	psych	TRAZODONE HCL	32322	8889.01
DE	pcp	LAMOTRIGINE	46492	92683.71
DE	pcp	SERTRALINE HCL	922276	290103.54
DE	psych	LAMOTRIGINE	10760	14085.38
DE	psych	ZOLPIDEM TARTRATE	10113	9735.4
FL	pcp	CLONAZEPAM	9971086	2351507.15999999
FL	pcp	DIVALPROEX SODIUM	2368844	3665508.44999999
FL	psych	BUPROPION HCL	397731	435659.29
FL	psych	CLONAZEPAM	598213	144588.09
FL	psych	LAMOTRIGINE	249504	150488.9
FL	psych	SERTRALINE HCL	360767	103190.54
FL	psych	TRAZODONE HCL	389772	107590.23
FL	psych	ZOLPIDEM TARTRATE	296402	120667.63
GA	pcp	QUETIAPINE FUMARATE	2686286	7146631.09
