AL	psych	467634	682727.499999999
AP	pcp	336	458.23
AS	pcp	2486	697.73
CA	psych	9895555	13639457.98
CT	pcp	13912018	9856667.21000002
CT	psych	930965	1347940.52
FL	psych	3690321	6743214.56
GA	pcp	40627258	22882140.62
HI	pcp	2457578	1578818.52
ID	psych	55136	62693.97
IN	pcp	33356026	20249701.94
KY	psych	418133	573951.99
MA	pcp	28538669	18951572.3
MA	psych	840717	1191525.27
MD	pcp	13831182	7786216.85000002
MN	psych	404858	545340.25
MP	pcp	2430	635.08
MS	pcp	13779537	9559057.54000006
MT	psych	22129	22466.73
NC	pcp	48165097	27917371.5000001
ND	psych	10337	9367.81
NH	psych	66070	117421.3
NY	psych	6646743	9815902.30999999
OH	pcp	62479786	44595864.8100001
OK	pcp	17918102	11668722.37
OK	psych	169783	295091.97
OR	psych	552255	1051354.54
PA	pcp	62120135	40133316.5400002
SD	pcp	3588604	2423694.99
SD	psych	11368	6434.96
TX	pcp	82314942	51463366.3999998
TX	psych	1763374	2182301.75
UT	pcp	10786174	5927021.59999998
VA	pcp	27531660	16401811.3300001
VI	psych	315	224.06
WA	psych	524306	632262.069999999
WI	pcp	25553591	15586265.9
WV	psych	45114	47467
AE	pcp	1260	264.55
AK	pcp	694689	439746.880000001
AK	psych	33262	39132.44
AZ	pcp	20960411	8988670.39000002
AZ	psych	868882	830922.57
CO	pcp	16656041	8795547.12000002
DC	psych	290347	429768
DE	pcp	3794356	2245639.43
DE	psych	155404	338484.65
FL	pcp	94575503	54720011.12
GA	psych	1017175	1481175.81
IL	pcp	38678825	25699423.2600001
KS	pcp	13004822	8797551.63
KS	psych	168095	281573.59
KY	pcp	27155604	18037120.49
LA	psych	1038790	1744094.26
MD	psych	665364	839752.86
ME	pcp	8570566	4324067.13
MN	pcp	22923672	12330575.85
MS	psych	285067	376514.06
MT	pcp	4188285	2154204.53
NC	psych	1047420	1605494.56
ND	pcp	3154158	1640898.52
NE	psych	104087	163890.24
NJ	pcp	26761638	17331713.77
NM	pcp	6644191	3414198.45999999
NM	psych	158926	239304.56
NV	pcp	8003347	3422225.99
NV	psych	181302	220942.58
NY	pcp	58088205	40414051.3300001
OH	psych	1424054	2701306.03
OR	pcp	20467292	9887544.56000002
RI	pcp	6673588	3661671.68000001
TN	psych	411008	649995.87
VA	psych	342575	486625.099999999
VT	pcp	3406431	1986087.52
VT	psych	47129	107161.14
WA	pcp	27570077	15192881.4899999
WV	pcp	11705369	6834833.21999999
WY	pcp	1609113	875310.92
WY	psych	35924	55168.31
XX	pcp	841	158.64
AA	psych	2655	771.47
AE	psych	363	342.77
AL	pcp	32373427	16494398.26
AR	pcp	17522367	10698147.28
AR	psych	94194	124105.85
CA	pcp	116769285	65103183.25
CO	psych	536437	625694.09
DC	pcp	843927	595111.77
GU	pcp	21807	5099.36
GU	psych	6830	11144
HI	psych	188226	390745.65
IA	pcp	14345112	8284033.43000001
IA	psych	155675	179173.81
ID	pcp	7234555	4325840.43999998
IL	psych	1249325	1865657.36
IN	psych	293443	432812.14
LA	pcp	20469463	15619332.11
ME	psych	127896	157222.08
MI	pcp	45449131	26518157.6800001
MI	psych	420255	456871.44
MO	pcp	32621388	22118215.56
MO	psych	735687	1106864.69
NE	pcp	7608248	4992747.95999999
NH	pcp	5169827	3100689.86999999
NJ	psych	1118584	2088468.27
PA	psych	1905595	2718634.09
PR	pcp	17111303	6521382.66
PR	psych	5823207	3733508.58
RI	psych	194681	257861.27
SC	pcp	21518225	12969190.07
SC	psych	170687	281770.08
TN	pcp	34711306	19794717.3200001
UT	psych	119672	105771.08
VI	pcp	24905	8682.2
WI	psych	401144	545787.54
ZZ	pcp	30283	13409.99
ZZ	psych	5860	6030.06
