NPI	NPPES_PROVIDER_LAST_ORG_NAME	NPPES_PROVIDER_FIRST_NAME	NPPES_PROVIDER_CITY	NPPES_PROVIDER_STATE	SPECIALTY_DESC	DESCRIPTION_FLAG	DRUG_NAME	GENERIC_NAME	BENE_COUNT	TOTAL_CLAIM_COUNT	TOTAL_DAY_SUPPLY	TOTAL_DRUG_COST	BENE_COUNT_GE65	BENE_COUNT_GE65_REDACT_FLAG	TOTAL_CLAIM_COUNT_GE65	GE65_REDACT_FLAG	TOTAL_DAY_SUPPLY_GE65	TOTAL_DRUG_COST_GE65
1821285826	21ST CENTURY ONCOLOGY LLC		AVENTURA	FL	Urology	S	TAMSULOSIN HCL	TAMSULOSIN HCL		12	360	142.14		*		*		
1093969024	A PRESTIGE WELLNESS CENTER, PA		DORAL	FL	Internal Medicine	S	PANTOPRAZOLE SODIUM	PANTOPRAZOLE SODIUM		12	360	196.37		*		*		
1518048750	A VILES	OMAR	MINEOLA	NY	Pediatric Medicine	S	VENLAFAXINE HCL ER	VENLAFAXINE HCL		12	360	161.69	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ABILIFY	ARIPIPRAZOLE		14	420	12705.73	0		0		0	0
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ALENDRONATE SODIUM	ALENDRONATE SODIUM		17	480	107.83		#		#		
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	ALPRAZOLAM	ALPRAZOLAM	27	260	6585	2807.29		*	78		2288	731.93
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	AMBIEN	ZOLPIDEM TARTRATE		28	900	7673.44		*	12		360	3037.82
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	AMBIEN CR	ZOLPIDEM TARTRATE		13	390	3409.07		*	13		390	3409.07
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	AMITRIPTYLINE HCL	AMITRIPTYLINE HCL		26	752	162.86		*	12		360	115.21
1952310666	A'BODJEDI	ENENGE	STAMFORD	CT	Psychiatry	S	AMPHETAMINE SALT COMBO	DEXTROAMPHETAMINE/AMPHETAMINE		23	690	2805.75		*		*		
