"CLONAZEPAM"
"QUETIAPINE FUMARATE"
"BUPROPION HCL"
"TRAZODONE HCL"
"RISPERIDONE"
"SERTRALINE HCL"
"FLUOXETINE HCL"
"ZOLPIDEM TARTRATE"
"DIVALPROEX SODIUM"
"LAMOTRIGINE"
"BENZTROPINE MESYLATE"
"ALPRAZOLAM"
"OLANZAPINE"
"CITALOPRAM HYDROBROMIDE"
"ARIPIPRAZOLE"
"LORAZEPAM"
"ESCITALOPRAM OXALATE"
"VENLAFAXINE HCL"
"DULOXETINE HCL"
"MIRTAZAPINE"
"PAROXETINE HCL"
"LITHIUM CARBONATE"
"GABAPENTIN"
"CLOZAPINE"
"BUSPIRONE HCL"
"HALOPERIDOL"
"TEMAZEPAM"
"ZIPRASIDONE HCL"
"TOPIRAMATE"
"DONEPEZIL HCL"
"DEXTROAMPHETAMINE/AMPHETAMINE"
"DIAZEPAM"
"AMITRIPTYLINE HCL"
"MEMANTINE HCL"
"CARBAMAZEPINE"
"DOXEPIN HCL"
"OXCARBAZEPINE"
"HYDROXYZINE PAMOATE"
"LEVOTHYROXINE SODIUM"
"CARBIDOPA/LEVODOPA"
"PALIPERIDONE PALMITATE"
"PROPRANOLOL HCL"
"HALOPERIDOL DECANOATE"
"LEVETIRACETAM"
"DESVENLAFAXINE SUCCINATE"
"FLUPHENAZINE HCL"
"METHYLPHENIDATE HCL"
"PERPHENAZINE"
"CHLORPROMAZINE HCL"
"RISPERIDONE MICROSPHERES"
"TRIHEXYPHENIDYL HCL"
"NORTRIPTYLINE HCL"
"BUPRENORPHINE HCL/NALOXONE HCL"
"LURASIDONE HCL"
"PALIPERIDONE"
"FLUVOXAMINE MALEATE"
"OMEPRAZOLE"
"SIMVASTATIN"
"ESZOPICLONE"
"FLURAZEPAM HCL"
"ESTAZOLAM"
"HYDROXYZINE HCL"
"TRIFLUOPERAZINE HCL"
"METFORMIN HCL"
"HYDROCODONE/ACETAMINOPHEN"
"CLONIDINE HCL"
"LISINOPRIL"
"CLORAZEPATE DIPOTASSIUM"
"PRAZOSIN HCL"
"THIOTHIXENE"
"OXYCODONE HCL"
"AMLODIPINE BESYLATE"
"ROPINIROLE HCL"
"VILAZODONE HYDROCHLORIDE"
"AMANTADINE HCL"
"THIORIDAZINE HCL"
"ATORVASTATIN CALCIUM"
"CLOMIPRAMINE HCL"
"LISDEXAMFETAMINE DIMESYLATE"
"PHENYTOIN SODIUM EXTENDED"
"FLUPHENAZINE DECANOATE"
"PREGABALIN"
"ASENAPINE MALEATE"
"DEXTROAMPHETAMINE SULFATE"
"PRAMIPEXOLE DI-HCL"
"ZALEPLON"
"RIVASTIGMINE"
"BACLOFEN"
"PRIMIDONE"
"RANITIDINE HCL"
"LIOTHYRONINE SODIUM"
"CLOPIDOGREL BISULFATE"
"IMIPRAMINE HCL"
"METOPROLOL TARTRATE"
"HYDROCHLOROTHIAZIDE"
"DIPHENHYDRAMINE HCL"
"GALANTAMINE HBR"
"ATENOLOL"
"ATOMOXETINE HCL"
"LOXAPINE SUCCINATE"
"FUROSEMIDE"
"MODAFINIL"
"CARISOPRODOL"
"TIZANIDINE HCL"
"MORPHINE SULFATE"
"TRAMADOL HCL"
"GUANFACINE HCL"
"ZONISAMIDE"
"METOPROLOL SUCCINATE"
"NEFAZODONE HCL"
"ILOPERIDONE"
"BUPRENORPHINE HCL"
"OXYCODONE HCL/ACETAMINOPHEN"
"IBUPROFEN"
"GLATIRAMER ACETATE"
"ESOMEPRAZOLE MAGNESIUM"
"PREDNISONE"
"ARMODAFINIL"
"VALPROIC ACID (AS SODIUM SALT)"
"OMEGA-3 ACID ETHYL ESTERS"
"PANTOPRAZOLE SODIUM"
"NALTREXONE HCL"
"PRAVASTATIN SODIUM"
"LACOSAMIDE"
"VALPROIC ACID"
"LOSARTAN POTASSIUM"
"POTASSIUM CHLORIDE"
"DESIPRAMINE HCL"
"TAMSULOSIN HCL"
"METHADONE HCL"
"RASAGILINE MESYLATE"
"PHENOBARBITAL"
"RAMELTEON"
"SELEGILINE HCL"
"FLUTICASONE/SALMETEROL"
"LACTULOSE"
"POLYETHYLENE GLYCOL 3350"
"PERPHENAZINE/AMITRIPTYLINE HCL"
"ENALAPRIL MALEATE"
"OXYBUTYNIN CHLORIDE"
"WARFARIN SODIUM"
"CYCLOBENZAPRINE HCL"
"CARVEDILOL"
"MELOXICAM"
"ROSUVASTATIN CALCIUM"
"PYRIDOSTIGMINE BROMIDE"
"TRANYLCYPROMINE SULFATE"
"TIOTROPIUM BROMIDE"
"GLIPIZIDE"
"SUMATRIPTAN SUCCINATE"
"TRIAZOLAM"
"ASPIRIN/DIPYRIDAMOLE"
"DESMOPRESSIN ACETATE"
"RIVASTIGMINE TARTRATE"
"FENTANYL"
"MONTELUKAST SODIUM"
"FLUTICASONE PROPIONATE"
"LOVASTATIN"
"FAMOTIDINE"
"VALSARTAN"
"NAPROXEN"
"CARBIDOPA/LEVODOPA/ENTACAPONE"
"ENTACAPONE"
"PROMETHAZINE HCL"
"HYDROMORPHONE HCL"
"ALENDRONATE SODIUM"
"ALLOPURINOL"
"SITAGLIPTIN PHOSPHATE"
"PHENELZINE SULFATE"
"ALBUTEROL SULFATE"
"FOLIC ACID"
"HALOPERIDOL LACTATE"
"CHLORDIAZEPOXIDE HCL"
"OXAZEPAM"
"GLYCOPYRROLATE"
"LATANOPROST"
"NIFEDIPINE"
"GEMFIBROZIL"
"SPIRONOLACTONE"
"INTERFERON BETA-1A"
"LANSOPRAZOLE"
"VERAPAMIL HCL"
"DEXMETHYLPHENIDATE HCL"
"DILTIAZEM HCL"
